Symbol,"Company name"
LB,"L Brands Inc"
PAYC,"Paycom Software Inc"
LEN,"Lennar Corp"
PHM,"PulteGroup Inc"
TDG,"TransDigm Group Inc"
GE,"General Electric Co"
ANET,"Arista Networks Inc"
DHI,"D.R. Horton Inc."
ROL,"Rollins Inc."
PRGO,"Perrigo Co Plc"
LHX,"L3Harris Technologies Inc"
KMX,"CarMax Inc"
BLL,"Ball Corp"
CRM,"salesforce.com Inc"
TROW,"T. Rowe Price Group Inc"
PGR,"Progressive Corp (The)"
LMT,"Lockheed Martin Corp"
MSI,"Motorola Solutions Inc"
NOC,"Northrop Grumman Corp"
FLT,"FleetCor Technologies Inc"
